"Time","Potential","Angle","Velocity","Acceleration"
0.0000,1.556,0.00,0.000,0.00
0.0064,1.559,0.00,0.000,0.00
0.0128,1.547,0.00,0.000,0.00
0.0192,1.553,0.00,0.000,0.00
0.0256,1.556,0.00,0.000,0.00
0.0320,1.553,0.00,0.000,0.00
0.0384,1.553,0.00,0.000,0.00
0.0448,1.553,0.00,0.000,0.00
0.0512,1.553,0.00,0.000,0.00
0.0576,1.556,0.00,0.000,0.00
0.0640,1.559,0.00,0.000,0.00
0.0704,1.547,0.00,0.000,0.00
0.0768,1.553,0.00,0.000,0.00
0.0832,1.550,0.00,0.000,0.00
0.0896,1.556,0.00,0.000,0.00
0.0960,1.556,0.00,0.000,0.00
0.1024,1.547,0.00,0.000,0.00
0.1088,1.556,0.00,0.000,0.00
0.1152,1.556,0.00,0.000,0.00
0.1216,1.556,0.00,0.000,0.00
0.1280,1.550,0.00,0.000,0.00
0.1344,1.550,0.00,0.000,0.00
0.1408,1.556,0.00,0.000,0.00
0.1472,1.553,0.00,0.000,0.00
0.1536,1.556,0.00,0.000,0.00
0.1600,1.553,0.00,0.000,0.00
0.1664,1.556,0.00,0.000,0.00
0.1728,1.556,0.00,0.000,0.00
0.1792,1.556,0.00,0.000,0.00
0.1856,1.556,0.00,0.000,0.00
0.1920,1.547,0.00,0.000,0.00
0.1984,1.553,0.00,0.000,0.00
0.2048,1.556,0.00,0.000,0.00
0.2112,1.556,0.00,0.000,0.00
0.2176,1.556,0.00,0.000,0.00
0.2240,1.550,0.00,0.000,0.00
0.2304,1.553,0.00,0.000,0.00
0.2368,1.556,0.00,0.000,0.00
0.2432,1.556,0.00,0.000,0.00
0.2496,1.550,0.00,0.000,0.00
0.2560,1.553,0.00,0.000,0.00
0.2624,1.550,0.00,0.000,0.00
0.2688,1.559,0.00,0.000,0.00
0.2752,1.556,0.00,0.000,0.00
0.2816,1.547,0.00,0.000,0.00
0.2880,1.556,0.00,0.000,0.00
0.2944,1.553,0.00,0.000,0.00
0.3008,1.556,0.00,0.000,0.00
0.3072,1.556,0.00,0.000,0.00
0.3136,1.550,0.00,0.000,0.00
0.3200,1.556,0.00,0.000,0.00
0.3264,1.556,0.00,0.000,0.00
