"Time","Potential","Angle","Velocity","Acceleration"
3.8656,0.410,0.00,0.000,0.00
3.8912,0.450,0.00,0.000,0.00
3.9168,0.356,0.00,0.000,0.00
3.9424,0.501,0.00,0.000,0.00
3.9680,0.302,0.00,0.000,0.00
3.9936,0.531,0.00,0.000,0.00
4.0192,0.296,0.00,0.000,0.00
4.0448,0.555,0.00,0.000,0.00
4.0704,0.299,0.00,0.000,0.00
4.0972,0.516,0.00,0.000,0.00
4.1228,0.356,0.00,0.000,0.00
4.1484,0.438,0.00,0.000,0.00
4.1740,0.438,0.00,0.000,0.00
4.1996,0.386,0.00,0.000,0.00
4.2252,0.510,0.00,0.000,0.00
4.2508,0.341,0.00,0.000,0.00
4.2764,0.555,0.00,0.000,0.00
4.3020,0.302,0.00,0.000,0.00
4.3276,0.568,0.00,0.000,0.00
4.3532,0.302,0.00,0.000,0.00
4.3788,0.555,0.00,0.000,0.00
4.4044,0.302,0.00,0.000,0.00
4.4300,0.562,0.00,0.000,0.00
4.4556,0.338,0.00,0.000,0.00
4.4812,0.498,0.00,0.000,0.00
4.5068,0.429,0.00,0.000,0.00
4.5324,0.407,0.00,0.000,0.00
4.5580,0.477,0.00,0.000,0.00
4.5836,0.338,0.00,0.000,0.00
4.6092,0.525,0.00,0.000,0.00
4.6348,0.305,0.00,0.000,0.00
4.6604,0.550,0.00,0.000,0.00
4.6860,0.287,0.00,0.000,0.00
4.7116,0.553,0.00,0.000,0.00
4.7372,0.281,0.00,0.000,0.00
4.7628,0.534,0.00,0.000,0.00
4.7884,0.296,0.00,0.000,0.00
4.8140,0.492,0.00,0.000,0.00
4.8396,0.380,0.00,0.000,0.00
4.8652,0.407,0.00,0.000,0.00
4.8908,0.438,0.00,0.000,0.00
4.9164,0.362,0.00,0.000,0.00
4.9420,0.498,0.00,0.000,0.00
4.9676,0.314,0.00,0.000,0.00
4.9932,0.528,0.00,0.000,0.00
5.0188,0.290,0.00,0.000,0.00
5.0444,0.553,0.00,0.000,0.00
5.0700,0.302,0.00,0.000,0.00
5.0956,0.534,0.00,0.000,0.00
5.1212,0.302,0.00,0.000,0.00
5.1468,0.507,0.00,0.000,0.00
5.1724,0.347,0.00,0.000,0.00
5.1980,0.441,0.00,0.000,0.00
5.2236,0.426,0.00,0.000,0.00
5.2492,0.380,0.00,0.000,0.00
5.2748,0.486,0.00,0.000,0.00
5.3004,0.323,0.00,0.000,0.00
5.3260,0.546,0.00,0.000,0.00
5.3516,0.293,0.00,0.000,0.00
5.3772,0.543,0.00,0.000,0.00
5.4028,0.293,0.00,0.000,0.00
5.4284,0.550,0.00,0.000,0.00
5.4540,0.293,0.00,0.000,0.00
5.4796,0.516,0.00,0.000,0.00
5.5052,0.329,0.00,0.000,0.00
5.5308,0.486,0.00,0.000,0.00
5.5564,0.407,0.00,0.000,0.00
5.5820,0.401,0.00,0.000,0.00
5.6076,0.462,0.00,0.000,0.00
5.6332,0.329,0.00,0.000,0.00
5.6588,0.516,0.00,0.000,0.00
5.6844,0.296,0.00,0.000,0.00
5.7100,0.565,0.00,0.000,0.00
5.7356,0.299,0.00,0.000,0.00
5.7612,0.550,0.00,0.000,0.00
5.7868,0.278,0.00,0.000,0.00
5.8124,0.534,0.00,0.000,0.00
5.8380,0.302,0.00,0.000,0.00
5.8636,0.507,0.00,0.000,0.00
5.8892,0.374,0.00,0.000,0.00
5.9148,0.420,0.00,0.000,0.00
5.9404,0.447,0.00,0.000,0.00
5.9660,0.341,0.00,0.000,0.00
5.9916,0.492,0.00,0.000,0.00
6.0172,0.305,0.00,0.000,0.00
6.0428,0.534,0.00,0.000,0.00
6.0684,0.299,0.00,0.000,0.00
6.0940,0.543,0.00,0.000,0.00
6.1196,0.284,0.00,0.000,0.00
6.1452,0.537,0.00,0.000,0.00
6.1708,0.284,0.00,0.000,0.00
6.1964,0.498,0.00,0.000,0.00
6.2220,0.329,0.00,0.000,0.00
6.2476,0.420,0.00,0.000,0.00
6.2732,0.426,0.00,0.000,0.00
6.2988,0.374,0.00,0.000,0.00
6.3244,0.477,0.00,0.000,0.00
6.3500,0.314,0.00,0.000,0.00
6.3756,0.516,0.00,0.000,0.00
6.4012,0.290,0.00,0.000,0.00
6.4268,0.543,0.00,0.000,0.00
6.4524,0.290,0.00,0.000,0.00
6.4780,0.543,0.00,0.000,0.00
6.5036,0.281,0.00,0.000,0.00
6.5292,0.519,0.00,0.000,0.00
6.5548,0.326,0.00,0.000,0.00
6.5804,0.471,0.00,0.000,0.00
6.6060,0.404,0.00,0.000,0.00
6.6316,0.389,0.00,0.000,0.00
6.6572,0.462,0.00,0.000,0.00
6.6828,0.335,0.00,0.000,0.00
6.7084,0.513,0.00,0.000,0.00
6.7340,0.293,0.00,0.000,0.00
6.7596,0.543,0.00,0.000,0.00
6.7852,0.253,0.00,0.000,0.00
6.8108,0.546,0.00,0.000,0.00
6.8364,0.271,0.00,0.000,0.00
6.8620,0.531,0.00,0.000,0.00
6.8876,0.296,0.00,0.000,0.00
6.9132,0.501,0.00,0.000,0.00
6.9388,0.371,0.00,0.000,0.00
6.9644,0.407,0.00,0.000,0.00
6.9900,0.438,0.00,0.000,0.00
7.0156,0.338,0.00,0.000,0.00
7.0412,0.495,0.00,0.000,0.00
7.0668,0.296,0.00,0.000,0.00
7.0924,0.534,0.00,0.000,0.00
7.1180,0.293,0.00,0.000,0.00
7.1436,0.546,0.00,0.000,0.00
7.1692,0.293,0.00,0.000,0.00
7.1948,0.516,0.00,0.000,0.00
7.2204,0.290,0.00,0.000,0.00
7.2460,0.504,0.00,0.000,0.00
7.2716,0.332,0.00,0.000,0.00
7.2972,0.447,0.00,0.000,0.00
7.3228,0.410,0.00,0.000,0.00
7.3484,0.371,0.00,0.000,0.00
7.3740,0.483,0.00,0.000,0.00
7.3996,0.326,0.00,0.000,0.00
7.4252,0.531,0.00,0.000,0.00
7.4508,0.278,0.00,0.000,0.00
7.4764,0.525,0.00,0.000,0.00
7.5020,0.278,0.00,0.000,0.00
7.5276,0.558,0.00,0.000,0.00
7.5532,0.284,0.00,0.000,0.00
7.5788,0.525,0.00,0.000,0.00
7.6044,0.311,0.00,0.000,0.00
7.6300,0.480,0.00,0.000,0.00
7.6556,0.414,0.00,0.000,0.00
7.6812,0.398,0.00,0.000,0.00
7.7068,0.468,0.00,0.000,0.00
7.7324,0.338,0.00,0.000,0.00
7.7580,0.513,0.00,0.000,0.00
7.7836,0.293,0.00,0.000,0.00
7.8092,0.516,0.00,0.000,0.00
7.8348,0.274,0.00,0.000,0.00
7.8604,0.525,0.00,0.000,0.00
7.8860,0.256,0.00,0.000,0.00
7.9116,0.522,0.00,0.000,0.00
7.9372,0.296,0.00,0.000,0.00
7.9628,0.486,0.00,0.000,0.00
7.9884,0.356,0.00,0.000,0.00
8.0140,0.404,0.00,0.000,0.00
8.0396,0.444,0.00,0.000,0.00
8.0652,0.341,0.00,0.000,0.00
8.0908,0.495,0.00,0.000,0.00
8.1164,0.317,0.00,0.000,0.00
8.1420,0.522,0.00,0.000,0.00
8.1676,0.278,0.00,0.000,0.00
8.1932,0.540,0.00,0.000,0.00
8.2188,0.278,0.00,0.000,0.00
8.2444,0.531,0.00,0.000,0.00
8.2700,0.269,0.00,0.000,0.00
8.2956,0.534,0.00,0.000,0.00
8.3212,0.323,0.00,0.000,0.00
8.3468,0.444,0.00,0.000,0.00
8.3724,0.420,0.00,0.000,0.00
8.3980,0.362,0.00,0.000,0.00
8.4236,0.474,0.00,0.000,0.00
8.4492,0.317,0.00,0.000,0.00
8.4748,0.525,0.00,0.000,0.00
8.5004,0.271,0.00,0.000,0.00
8.5260,0.543,0.00,0.000,0.00
8.5516,0.278,0.00,0.000,0.00
8.5772,0.558,0.00,0.000,0.00
8.6028,0.281,0.00,0.000,0.00
8.6284,0.525,0.00,0.000,0.00
8.6540,0.302,0.00,0.000,0.00
8.6796,0.471,0.00,0.000,0.00
8.7052,0.404,0.00,0.000,0.00
8.7308,0.398,0.00,0.000,0.00
8.7564,0.477,0.00,0.000,0.00
8.7820,0.329,0.00,0.000,0.00
8.8076,0.513,0.00,0.000,0.00
8.8332,0.284,0.00,0.000,0.00
8.8588,0.516,0.00,0.000,0.00
8.8844,0.266,0.00,0.000,0.00
8.9100,0.528,0.00,0.000,0.00
8.9356,0.253,0.00,0.000,0.00
8.9612,0.507,0.00,0.000,0.00
8.9868,0.274,0.00,0.000,0.00
9.0124,0.483,0.00,0.000,0.00
9.0380,0.371,0.00,0.000,0.00
9.0636,0.404,0.00,0.000,0.00
9.0892,0.438,0.00,0.000,0.00
9.1148,0.332,0.00,0.000,0.00
9.1404,0.492,0.00,0.000,0.00
9.1660,0.305,0.00,0.000,0.00
9.1916,0.525,0.00,0.000,0.00
9.2172,0.290,0.00,0.000,0.00
9.2428,0.546,0.00,0.000,0.00
9.2684,0.290,0.00,0.000,0.00
9.2940,0.528,0.00,0.000,0.00
9.3196,0.278,0.00,0.000,0.00
9.3452,0.498,0.00,0.000,0.00
9.3708,0.317,0.00,0.000,0.00
9.3964,0.426,0.00,0.000,0.00
9.4220,0.426,0.00,0.000,0.00
9.4476,0.398,0.00,0.000,0.00
9.4732,0.522,0.00,0.000,0.00
9.4988,0.323,0.00,0.000,0.00
9.5244,0.528,0.00,0.000,0.00
9.5500,0.293,0.00,0.000,0.00
9.5756,0.543,0.00,0.000,0.00
9.6012,0.290,0.00,0.000,0.00
9.6268,0.565,0.00,0.000,0.00
9.6524,0.278,0.00,0.000,0.00
9.6780,0.543,0.00,0.000,0.00
9.7036,0.314,0.00,0.000,0.00
9.7292,0.486,0.00,0.000,0.00
9.7548,0.410,0.00,0.000,0.00
9.7804,0.389,0.00,0.000,0.00
9.8060,0.462,0.00,0.000,0.00
9.8316,0.329,0.00,0.000,0.00
9.8572,0.507,0.00,0.000,0.00
9.8828,0.281,0.00,0.000,0.00
9.9084,0.531,0.00,0.000,0.00
9.9340,0.259,0.00,0.000,0.00
9.9596,0.525,0.00,0.000,0.00
9.9852,0.259,0.00,0.000,0.00
10.0108,0.522,0.00,0.000,0.00
10.0364,0.278,0.00,0.000,0.00
10.0620,0.471,0.00,0.000,0.00
10.0876,0.338,0.00,0.000,0.00
10.1132,0.392,0.00,0.000,0.00
10.1388,0.417,0.00,0.000,0.00
10.1644,0.329,0.00,0.000,0.00
10.1900,0.459,0.00,0.000,0.00
10.2156,0.293,0.00,0.000,0.00
10.2412,0.516,0.00,0.000,0.00
10.2668,0.262,0.00,0.000,0.00
10.2924,0.537,0.00,0.000,0.00
10.3180,0.266,0.00,0.000,0.00
10.3436,0.522,0.00,0.000,0.00
10.3692,0.284,0.00,0.000,0.00
10.3948,0.501,0.00,0.000,0.00
10.4204,0.299,0.00,0.000,0.00
10.4460,0.420,0.00,0.000,0.00
10.4716,0.420,0.00,0.000,0.00
10.4972,0.356,0.00,0.000,0.00
10.5228,0.447,0.00,0.000,0.00
10.5484,0.308,0.00,0.000,0.00
10.5740,0.546,0.00,0.000,0.00
10.5996,0.305,0.00,0.000,0.00
10.6252,0.558,0.00,0.000,0.00
10.6508,0.284,0.00,0.000,0.00
10.6764,0.543,0.00,0.000,0.00
10.7020,0.274,0.00,0.000,0.00
