"Time","Potential","Angle","Velocity","Acceleration"
0.0000,0.948,0.00,0.000,0.00
0.0128,0.948,0.00,0.000,0.00
0.0256,0.960,0.00,0.000,0.00
0.0384,0.957,0.00,0.000,0.00
0.0512,0.954,0.00,0.000,0.00
0.0640,0.957,0.00,0.000,0.00
0.0768,0.954,0.00,0.000,0.00
0.0896,0.954,0.00,0.000,0.00
0.1024,0.948,0.00,0.000,0.00
0.1152,0.966,0.00,0.000,0.00
0.1280,0.963,0.00,0.000,0.00
0.1408,0.945,0.00,0.000,0.00
0.1536,0.957,0.00,0.000,0.00
0.1664,0.951,0.00,0.000,0.00
0.1792,0.954,0.00,0.000,0.00
0.1920,0.957,0.00,0.000,0.00
0.2048,0.957,0.00,0.000,0.00
0.2176,0.954,0.00,0.000,0.00
0.2304,0.951,0.00,0.000,0.00
0.2432,0.954,0.00,0.000,0.00
0.2560,0.954,0.00,0.000,0.00
0.2688,0.960,0.00,0.000,0.00
0.2816,0.945,0.00,0.000,0.00
0.2944,0.963,0.00,0.000,0.00
0.3072,0.957,0.00,0.000,0.00
0.3200,0.960,0.00,0.000,0.00
0.3328,0.960,0.00,0.000,0.00
0.3456,0.957,0.00,0.000,0.00
0.3584,0.954,0.00,0.000,0.00
0.3712,0.960,0.00,0.000,0.00
0.3840,0.951,0.00,0.000,0.00
0.3968,0.960,0.00,0.000,0.00
0.4096,0.957,0.00,0.000,0.00
0.4224,0.942,0.00,0.000,0.00
0.4352,0.951,0.00,0.000,0.00
0.4480,0.957,0.00,0.000,0.00
0.4608,0.966,0.00,0.000,0.00
0.4736,0.954,0.00,0.000,0.00
0.4864,0.954,0.00,0.000,0.00
0.4992,0.954,0.00,0.000,0.00
0.5120,0.957,0.00,0.000,0.00
0.5248,0.957,0.00,0.000,0.00
0.5376,0.954,0.00,0.000,0.00
0.5504,0.957,0.00,0.000,0.00
0.5632,0.954,0.00,0.000,0.00
0.5760,0.966,0.00,0.000,0.00
0.5888,0.954,0.00,0.000,0.00
0.6016,0.957,0.00,0.000,0.00
0.6144,0.957,0.00,0.000,0.00
0.6272,0.963,0.00,0.000,0.00
0.6400,0.960,0.00,0.000,0.00
0.6528,0.951,0.00,0.000,0.00
0.6656,0.954,0.00,0.000,0.00
0.6784,0.970,0.00,0.000,0.00
0.6912,0.954,0.00,0.000,0.00
0.7040,0.942,0.00,0.000,0.00
0.7168,0.963,0.00,0.000,0.00
0.7296,0.960,0.00,0.000,0.00
0.7424,0.963,0.00,0.000,0.00
0.7552,0.957,0.00,0.000,0.00
0.7680,0.960,0.00,0.000,0.00
0.7808,0.973,0.00,0.000,0.00
0.7936,0.970,0.00,0.000,0.00
0.8064,0.966,0.00,0.000,0.00
0.8192,0.966,0.00,0.000,0.00
0.8320,0.954,0.00,0.000,0.00
0.8448,0.951,0.00,0.000,0.00
0.8576,0.951,0.00,0.000,0.00
0.8704,0.957,0.00,0.000,0.00
0.8832,0.960,0.00,0.000,0.00
0.8960,0.963,0.00,0.000,0.00
0.9088,0.963,0.00,0.000,0.00
0.9216,0.960,0.00,0.000,0.00
0.9344,0.945,0.00,0.000,0.00
0.9472,0.960,0.00,0.000,0.00
0.9600,0.966,0.00,0.000,0.00
0.9728,0.951,0.00,0.000,0.00
0.9856,0.957,0.00,0.000,0.00
0.9984,0.960,0.00,0.000,0.00
1.0112,0.970,0.00,0.000,0.00
1.0240,0.966,0.00,0.000,0.00
1.0368,0.954,0.00,0.000,0.00
1.0496,0.954,0.00,0.000,0.00
1.0624,0.954,0.00,0.000,0.00
1.0752,0.963,0.00,0.000,0.00
1.0880,0.954,0.00,0.000,0.00
1.1008,0.954,0.00,0.000,0.00
1.1139,0.954,0.00,0.000,0.00
1.1267,0.948,0.00,0.000,0.00
1.1395,0.951,0.00,0.000,0.00
1.1523,0.954,0.00,0.000,0.00
1.1651,0.957,0.00,0.000,0.00
1.1779,0.957,0.00,0.000,0.00
1.1907,0.954,0.00,0.000,0.00
1.2035,0.951,0.00,0.000,0.00
1.2163,0.960,0.00,0.000,0.00
1.2291,0.960,0.00,0.000,0.00
1.2419,0.960,0.00,0.000,0.00
1.2547,0.945,0.00,0.000,0.00
1.2675,0.960,0.00,0.000,0.00
1.2803,0.957,0.00,0.000,0.00
1.2931,0.954,0.00,0.000,0.00
1.3059,0.954,0.00,0.000,0.00
