"Time","Potential","Angle","Velocity","Acceleration"
0.0000,1.692,0.00,0.000,0.00
0.0064,1.695,0.00,0.000,0.00
0.0128,1.695,0.00,0.000,0.00
0.0192,1.686,0.00,0.000,0.00
0.0256,1.695,0.00,0.000,0.00
0.0320,1.692,0.00,0.000,0.00
0.0384,1.695,0.00,0.000,0.00
0.0448,1.695,0.00,0.000,0.00
0.0512,1.695,0.00,0.000,0.00
0.0576,1.689,0.00,0.000,0.00
0.0640,1.695,0.00,0.000,0.00
0.0704,1.698,0.00,0.000,0.00
0.0768,1.695,0.00,0.000,0.00
0.0832,1.692,0.00,0.000,0.00
0.0896,1.698,0.00,0.000,0.00
0.0960,1.695,0.00,0.000,0.00
0.1024,1.698,0.00,0.000,0.00
0.1088,1.695,0.00,0.000,0.00
0.1152,1.695,0.00,0.000,0.00
0.1216,1.695,0.00,0.000,0.00
0.1280,1.701,0.00,0.000,0.00
0.1344,1.695,0.00,0.000,0.00
0.1408,1.692,0.00,0.000,0.00
0.1472,1.695,0.00,0.000,0.00
0.1536,1.695,0.00,0.000,0.00
0.1600,1.701,0.00,0.000,0.00
0.1664,1.686,0.00,0.000,0.00
0.1728,1.698,0.00,0.000,0.00
0.1792,1.698,0.00,0.000,0.00
0.1856,1.695,0.00,0.000,0.00
0.1920,1.692,0.00,0.000,0.00
0.1984,1.695,0.00,0.000,0.00
0.2048,1.698,0.00,0.000,0.00
0.2112,1.698,0.00,0.000,0.00
0.2176,1.692,0.00,0.000,0.00
0.2240,1.695,0.00,0.000,0.00
0.2304,1.695,0.00,0.000,0.00
0.2368,1.695,0.00,0.000,0.00
0.2432,1.695,0.00,0.000,0.00
0.2496,1.692,0.00,0.000,0.00
0.2560,1.695,0.00,0.000,0.00
0.2624,1.695,0.00,0.000,0.00
0.2688,1.695,0.00,0.000,0.00
0.2752,1.695,0.00,0.000,0.00
0.2816,1.695,0.00,0.000,0.00
0.2880,1.695,0.00,0.000,0.00
0.2944,1.695,0.00,0.000,0.00
0.3008,1.686,0.00,0.000,0.00
0.3072,1.695,0.00,0.000,0.00
0.3136,1.695,0.00,0.000,0.00
0.3200,1.695,0.00,0.000,0.00
0.3264,1.692,0.00,0.000,0.00
0.3328,1.695,0.00,0.000,0.00
0.3392,1.698,0.00,0.000,0.00
0.3456,1.695,0.00,0.000,0.00
0.3520,1.695,0.00,0.000,0.00
0.3584,1.695,0.00,0.000,0.00
0.3648,1.695,0.00,0.000,0.00
0.3712,1.698,0.00,0.000,0.00
0.3776,1.698,0.00,0.000,0.00
0.3840,1.692,0.00,0.000,0.00
0.3904,1.695,0.00,0.000,0.00
0.3968,1.695,0.00,0.000,0.00
0.4032,1.698,0.00,0.000,0.00
0.4096,1.686,0.00,0.000,0.00
0.4160,1.695,0.00,0.000,0.00
0.4224,1.698,0.00,0.000,0.00
0.4288,1.698,0.00,0.000,0.00
0.4352,1.695,0.00,0.000,0.00
0.4416,1.698,0.00,0.000,0.00
0.4480,1.695,0.00,0.000,0.00
0.4544,1.698,0.00,0.000,0.00
0.4608,1.695,0.00,0.000,0.00
0.4672,1.695,0.00,0.000,0.00
0.4736,1.698,0.00,0.000,0.00
0.4800,1.695,0.00,0.000,0.00
