"Time","Potential","Angle","Velocity","Acceleration"
0.9664,1.589,0.00,0.000,0.00
0.9728,1.595,0.00,0.000,0.00
0.9792,1.592,0.00,0.000,0.00
0.9856,1.598,0.00,0.000,0.00
0.9920,1.586,0.00,0.000,0.00
0.9984,1.595,0.00,0.000,0.00
1.0048,1.598,0.00,0.000,0.00
1.0112,1.598,0.00,0.000,0.00
1.0176,1.592,0.00,0.000,0.00
1.0240,1.595,0.00,0.000,0.00
1.0304,1.595,0.00,0.000,0.00
1.0368,1.598,0.00,0.000,0.00
1.0432,1.595,0.00,0.000,0.00
1.0496,1.592,0.00,0.000,0.00
1.0560,1.595,0.00,0.000,0.00
1.0624,1.595,0.00,0.000,0.00
1.0688,1.595,0.00,0.000,0.00
1.0752,1.586,0.00,0.000,0.00
1.0816,1.592,0.00,0.000,0.00
1.0880,1.595,0.00,0.000,0.00
1.0944,1.595,0.00,0.000,0.00
1.1008,1.589,0.00,0.000,0.00
1.1072,1.595,0.00,0.000,0.00
1.1136,1.592,0.00,0.000,0.00
1.1200,1.595,0.00,0.000,0.00
1.1264,1.592,0.00,0.000,0.00
1.1328,1.592,0.00,0.000,0.00
1.1392,1.595,0.00,0.000,0.00
1.1456,1.595,0.00,0.000,0.00
1.1520,1.595,0.00,0.000,0.00
1.1584,1.589,0.00,0.000,0.00
1.1648,1.592,0.00,0.000,0.00
1.1712,1.595,0.00,0.000,0.00
1.1776,1.595,0.00,0.000,0.00
1.1840,1.586,0.00,0.000,0.00
1.1904,1.595,0.00,0.000,0.00
1.1968,1.595,0.00,0.000,0.00
1.2032,1.595,0.00,0.000,0.00
1.2096,1.589,0.00,0.000,0.00
1.2160,1.589,0.00,0.000,0.00
1.2224,1.595,0.00,0.000,0.00
1.2288,1.595,0.00,0.000,0.00
1.2352,1.595,0.00,0.000,0.00
1.2416,1.589,0.00,0.000,0.00
1.2480,1.595,0.00,0.000,0.00
1.2544,1.595,0.00,0.000,0.00
1.2608,1.598,0.00,0.000,0.00
1.2672,1.589,0.00,0.000,0.00
1.2736,1.595,0.00,0.000,0.00
1.2800,1.592,0.00,0.000,0.00
1.2864,1.595,0.00,0.000,0.00
1.2928,1.589,0.00,0.000,0.00
1.2992,1.592,0.00,0.000,0.00
1.3056,1.595,0.00,0.000,0.00
1.3120,1.595,0.00,0.000,0.00
1.3184,1.595,0.00,0.000,0.00
1.3248,1.586,0.00,0.000,0.00
1.3312,1.595,0.00,0.000,0.00
1.3376,1.598,0.00,0.000,0.00
1.3440,1.598,0.00,0.000,0.00
1.3504,1.589,0.00,0.000,0.00
1.3568,1.595,0.00,0.000,0.00
1.3632,1.595,0.00,0.000,0.00
1.3696,1.595,0.00,0.000,0.00
1.3760,1.589,0.00,0.000,0.00
1.3824,1.592,0.00,0.000,0.00
1.3888,1.595,0.00,0.000,0.00
1.3952,1.595,0.00,0.000,0.00
1.4016,1.595,0.00,0.000,0.00
1.4080,1.586,0.00,0.000,0.00
1.4144,1.595,0.00,0.000,0.00
1.4208,1.598,0.00,0.000,0.00
1.4272,1.595,0.00,0.000,0.00
1.4336,1.586,0.00,0.000,0.00
1.4400,1.595,0.00,0.000,0.00
1.4464,1.595,0.00,0.000,0.00
1.4528,1.595,0.00,0.000,0.00
1.4592,1.595,0.00,0.000,0.00
1.4656,1.592,0.00,0.000,0.00
1.4720,1.595,0.00,0.000,0.00
1.4784,1.595,0.00,0.000,0.00
1.4848,1.598,0.00,0.000,0.00
1.4912,1.589,0.00,0.000,0.00
1.4976,1.595,0.00,0.000,0.00
1.5040,1.595,0.00,0.000,0.00
1.5104,1.595,0.00,0.000,0.00
1.5168,1.586,0.00,0.000,0.00
1.5232,1.595,0.00,0.000,0.00
1.5296,1.595,0.00,0.000,0.00
1.5360,1.595,0.00,0.000,0.00
1.5424,1.589,0.00,0.000,0.00
1.5488,1.595,0.00,0.000,0.00
1.5552,1.598,0.00,0.000,0.00
1.5616,1.595,0.00,0.000,0.00
1.5680,1.592,0.00,0.000,0.00
1.5744,1.589,0.00,0.000,0.00
1.5808,1.592,0.00,0.000,0.00
1.5872,1.598,0.00,0.000,0.00
1.5936,1.595,0.00,0.000,0.00
1.6000,1.586,0.00,0.000,0.00
1.6064,1.595,0.00,0.000,0.00
1.6128,1.595,0.00,0.000,0.00
1.6192,1.595,0.00,0.000,0.00
1.6256,1.592,0.00,0.000,0.00
1.6320,1.595,0.00,0.000,0.00
1.6384,1.595,0.00,0.000,0.00
